岗位名称,公司名,招聘详情页,薪资,工作地点,身份要求,学历要求,公司规模,公司简介
产品经理,一束光科技,https://www.shixiseng.com/intern/xjb_scebqgpnxtrw?pcm=pc_SearchList,20k-30k/月,厦门, , , , 
产品经理,航天软件,https://www.shixiseng.com/intern/xjb_ttwlks46plus?pcm=pc_SearchList,薪资面议,北京, , , , 
产品经理,亿信华辰,https://www.shixiseng.com/intern/xjb_ujp5pgweqgkt?pcm=pc_SearchList,薪资面议,北京, , , , 
产品经理,建信览智,https://www.shixiseng.com/intern/xjb_muitwjry2c4s?pcm=pc_SearchList,薪资面议,北京, , , , 
产品经理,修正药业,https://www.shixiseng.com/intern/xjb_1rol6p8tjfeg?pcm=pc_SearchList,15k-20k/月,南宁, , , , 
产品经理,陌陌信息,https://www.shixiseng.com/intern/xjb_y1vyigruqtpr?pcm=pc_SearchList,薪资面议,北京, , , , 
产品经理,海豹他趣,https://www.shixiseng.com/intern/xjb_zkqzkba3h27p?pcm=pc_SearchList,20k-30k/月,厦门, , , , 
产品经理,骐俊物联,https://www.shixiseng.com/intern/xjb_2irbkzldschz?pcm=pc_SearchList,薪资面议,厦门, , , , 
产品经理,曙光信息,https://www.shixiseng.com/intern/xjb_wx8llf26opnd?pcm=pc_SearchList,薪资面议,天津, , , , 
产品经理,曙光信息,https://www.shixiseng.com/intern/xjb_fsscotnjwp79?pcm=pc_SearchList,薪资面议,天津, , , , 
产品经理,联拓信息,https://www.shixiseng.com/intern/xjb_fmotl7dxdl2c?pcm=pc_SearchList,薪资面议,厦门, , , , 
产品经理,畅享信息,https://www.shixiseng.com/intern/xjb_0hpqdg8ypdjq?pcm=pc_SearchList,薪资面议,厦门, , , , 
产品经理,泰康人寿,https://www.shixiseng.com/intern/xjb_f9jzbxpimnyy?pcm=pc_SearchList,薪资面议,北京, , , , 
产品经理,山石网科,https://www.shixiseng.com/intern/xjb_jkeravzyzvll?pcm=pc_SearchList,薪资面议,北京, , , , 
产品经理,帆软软件,https://www.shixiseng.com/intern/xjb_kzkiujrnsmtz?pcm=pc_SearchList,薪资面议,无锡, , , , 
产品经理,搏浪集团,https://www.shixiseng.com/intern/xjb_uvn7m2dasrwi?pcm=pc_SearchList,薪资面议,泉州, , , , 
产品经理,赛目科技,https://www.shixiseng.com/intern/xjb_eochgbao3uar?pcm=pc_SearchList,薪资面议,北京, , , , 
产品经理,北森云,https://www.shixiseng.com/intern/xjb_ghjyjcvbiuzp?pcm=pc_SearchList,薪资面议,北京, , , , 
产品经理,IDG资本,https://www.shixiseng.com/intern/xjb_93xkgxucstsz?pcm=pc_SearchList,薪资面议,北京, , , , 
产品经理,诺贝尔陶瓷,https://www.shixiseng.com/intern/xjb_vnrr2q3u4avj?pcm=pc_SearchList,薪资面议,杭州, , , , 
产品经理,中电海康,https://www.shixiseng.com/intern/xjb_a50mfolllsuy?pcm=pc_SearchList,薪资面议,杭州, , , , 
产品经理,西海岸集团,https://www.shixiseng.com/intern/xjb_u6sbg18lyofc?pcm=pc_SearchList,薪资面议,青岛, , , , 
产品经理,中通快递,https://www.shixiseng.com/intern/xjb_vvb7vrvb90xo?pcm=pc_SearchList,薪资面议,上海, , , , 
产品经理,北大方正,https://www.shixiseng.com/intern/xjb_w0fpjsml0ybs?pcm=pc_SearchList,薪资面议,北京, , , , 
产品经理,北大方正,https://www.shixiseng.com/intern/xjb_0eb5ki5qaeo2?pcm=pc_SearchList,薪资面议,北京, , , , 
产品经理,长威信息,https://www.shixiseng.com/intern/xjb_ttfk1e92dfev?pcm=pc_SearchList,薪资面议,福州, , , , 
产品经理,景杰生物,https://www.shixiseng.com/intern/xjb_nlvaobcuolrd?pcm=pc_SearchList,薪资面议,杭州, , , , 
产品经理,天准科技,https://www.shixiseng.com/intern/xjb_5zwt5q4tjokt?pcm=pc_SearchList,薪资面议,苏州, , , , 
产品经理,畅博思,https://www.shixiseng.com/intern/xjb_u8gytcm7taza?pcm=pc_SearchList,10k-20k/月,厦门, , , , 
产品经理,网宿科技,https://www.shixiseng.com/intern/xjb_lagrs04d9xss?pcm=pc_SearchList,薪资面议,厦门, , , , 
产品经理,禾沣农业,https://www.shixiseng.com/intern/xjb_lhtwmp5bxxgk?pcm=pc_SearchList,6k-10k/月,厦门, , , , 
产品经理,万维科技,https://www.shixiseng.com/intern/xjb_3bwtd2ozd2pc?pcm=pc_SearchList,薪资面议,北京, , , , 
产品经理,科罗恩,https://www.shixiseng.com/intern/xjb_yo4stywfuzp4?pcm=pc_SearchList,8k-15k/月,厦门, , , , 
产品经理,天度科技,https://www.shixiseng.com/intern/xjb_bxwijwbylw4d?pcm=pc_SearchList,3k-4k/月,厦门, , , , 
产品经理,掌上先机,https://www.shixiseng.com/intern/xjb_gxpughmnfmep?pcm=pc_SearchList,薪资面议,北京, , , , 
